  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   2496  -0.69910      0.0000000000    -15.322125      0.0000000000       10.0000000000
   2506  -0.69810      0.0000000000    -15.294913      0.0000000000       10.0000000000
   2516  -0.69710      0.0000000000    -15.267702      0.0000000000       10.0000000000
   2526  -0.69610      0.0000000000    -15.240490      0.0000000000       10.0000000000
   2536  -0.69510      0.0000000000    -15.213279      0.0000000000       10.0000000000
   2546  -0.69410      0.0000000000    -15.186068      0.0000000000       10.0000000000
   2556  -0.69310      0.0000000000    -15.158856      0.0000000000       10.0000000000
   2566  -0.69210      0.0000000000    -15.131645      0.0000000000       10.0000000000
   2576  -0.69110      0.0000000000    -15.104433      0.0000000000       10.0000000000
   2586  -0.69010      0.0000000000    -15.077222      0.0000000000       10.0000000000
   2596  -0.68910      0.0000000000    -15.050011      0.0000000000       10.0000000000
   2606  -0.68810      0.0000000000    -15.022799      0.0000000000       10.0000000000
   2616  -0.68710      0.0000000000    -14.995588      0.0000000000       10.0000000000
   2626  -0.68610      0.0000000000    -14.968377      0.0000000000       10.0000000000
   2636  -0.68510      0.0000000000    -14.941165      0.0000000000       10.0000000000
   2646  -0.68410      0.0000000000    -14.913954      0.0000000000       10.0000000000
   2656  -0.68310      0.0000000000    -14.886742      0.0000000000       10.0000000000
   2666  -0.68210      0.0000000000    -14.859531      0.0000000000       10.0000000000
   2676  -0.68110      0.0000000000    -14.832320      0.0000000000       10.0000000000
   2686  -0.68010      0.0000000000    -14.805108      0.0000000000       10.0000000000
   2696  -0.67910      0.0000000000    -14.777897      0.0000000000       10.0000000000
   2706  -0.67810      0.0000000000    -14.750685      0.0000000000       10.0000000000
   2716  -0.67710      0.0000000000    -14.723474      0.0000000000       10.0000000000
   2726  -0.67610      0.0000000000    -14.696263      0.0000000000       10.0000000000
   2736  -0.67510      0.0000000000    -14.669051      0.0000000000       10.0000000000
   2746  -0.67410      0.0000000000    -14.641840      0.0000000000       10.0000000000
   2756  -0.67310      0.0000000000    -14.614628      0.0000000000       10.0000000000
   2766  -0.67210      0.0000000000    -14.587417      0.0000000000       10.0000000000
   2776  -0.67110      0.0000000000    -14.560206      0.0000000000       10.0000000000
   2786  -0.67010      0.0000000000    -14.532994      0.0000000000       10.0000000000
   2796  -0.66910      0.0000000000    -14.505783      0.0000000000       10.0000000000
   2806  -0.66810      0.0000000000    -14.478571      0.0000000000       10.0000000000
   2816  -0.66710      0.0000000000    -14.451360      0.0000000000       10.0000000000
   2826  -0.66610      0.0000000000    -14.424149      0.0000000000       10.0000000000
   2836  -0.66510      0.0000000000    -14.396937      0.0000000000       10.0000000000
   2846  -0.66410      0.0000000000    -14.369726      0.0000000000       10.0000000000
   2856  -0.66310      0.0000000000    -14.342514      0.0000000000       10.0000000000
   2866  -0.66210      0.0000000000    -14.315303      0.0000000000       10.0000000000
   2876  -0.66110      0.0000000000    -14.288092      0.0000000000       10.0000000000
   2886  -0.66010      0.0000000000    -14.260880      0.0000000000       10.0000000000
   2896  -0.65910      0.0000000000    -14.233669      0.0000000000       10.0000000000
   2906  -0.65810      0.0000000000    -14.206457      0.0000000000       10.0000000000
   2916  -0.65710      0.0000000000    -14.179246      0.0000000000       10.0000000000
   2926  -0.65610      0.0000000000    -14.152035      0.0000000000       10.0000000000
   2936  -0.65510      0.0000000000    -14.124823      0.0000000000       10.0000000000
   2946  -0.65410      0.0000000000    -14.097612      0.0000000000       10.0000000000
   2956  -0.65310      0.0000000000    -14.070400      0.0000000000       10.0000000000
   2966  -0.65210      0.0000000000    -14.043189      0.0000000000       10.0000000000
   2976  -0.65110      0.0000000000    -14.015978      0.0000000000       10.0000000000
   2986  -0.65010      0.0000000000    -13.988766      0.0000000000       10.0000000000
   2996  -0.64910      0.0000000000    -13.961555      0.0000000000       10.0000000000
   3006  -0.64810      0.0000000000    -13.934343      0.0000000000       10.0000000000
   3016  -0.64710      0.0000000000    -13.907132      0.0000000000       10.0000000000
   3026  -0.64610      0.0000000000    -13.879921      0.0000000000       10.0000000000
   3036  -0.64510      0.0000000000    -13.852709      0.0000000000       10.0000000000
   3046  -0.64410      0.0000000000    -13.825498      0.0000000000       10.0000000000
   3056  -0.64310      0.0000000000    -13.798286      0.0000000000       10.0000000000
   3066  -0.64210      0.0000000000    -13.771075      0.0000000000       10.0000000000
   3076  -0.64110      0.0000000000    -13.743864      0.0000000000       10.0000000000
   3086  -0.64010      0.0000000000    -13.716652      0.0000000000       10.0000000000
   3096  -0.63910      0.0000000000    -13.689441      0.0000000000       10.0000000000
   3106  -0.63810      0.0000000000    -13.662229      0.0000000000       10.0000000000
   3116  -0.63710      0.0000000000    -13.635018      0.0000000000       10.0000000000
   3126  -0.63610      0.0000000000    -13.607807      0.0000000000       10.0000000000
   3136  -0.63510      0.0000000000    -13.580595      0.0000000000       10.0000000000
   3146  -0.63410      0.0000000000    -13.553384      0.0000000000       10.0000000000
   3156  -0.63310      0.0000000000    -13.526173      0.0000000000       10.0000000000
   3166  -0.63210      0.0000000000    -13.498961      0.0000000000       10.0000000000
   3176  -0.63110      0.0000000000    -13.471750      0.0000000000       10.0000000000
   3186  -0.63010      0.0000000000    -13.444538      0.0000000000       10.0000000000
   3196  -0.62910      0.0000000000    -13.417327      0.0000000000       10.0000000000
   3206  -0.62810      0.0000000000    -13.390116      0.0000000000       10.0000000000
   3216  -0.62710      0.0000000000    -13.362904      0.0000000000       10.0000000000
   3226  -0.62610      0.0000000000    -13.335693      0.0000000000       10.0000000000
   3236  -0.62510      0.0000000000    -13.308481      0.0000000000       10.0000000000
   3246  -0.62410      0.0000000000    -13.281270      0.0000000000       10.0000000000
   3256  -0.62310      0.0000000000    -13.254059      0.0000000000       10.0000000000
   3266  -0.62210      0.0000000000    -13.226847      0.0000000000       10.0000000000
   3276  -0.62110      0.0000000000    -13.199636      0.0000000000       10.0000000000
   3286  -0.62010      0.0000000000    -13.172424      0.0000000000       10.0000000000
   3296  -0.61910      0.0000000000    -13.145213      0.0000000000       10.0000000000
   3306  -0.61810      0.0000000000    -13.118002      0.0000000000       10.0000000000
   3316  -0.61710      0.0000000000    -13.090790      0.0000000000       10.0000000000
   3326  -0.61610      0.0000000000    -13.063579      0.0000000000       10.0000000000
   3336  -0.61510      0.0000000000    -13.036367      0.0000000000       10.0000000000
   3346  -0.61410      0.0000000000    -13.009156      0.0000000000       10.0000000000
   3356  -0.61310      0.0000000000    -12.981945      0.0000000000       10.0000000000
   3366  -0.61210      0.0000000000    -12.954733      0.0000000000       10.0000000000
   3376  -0.61110      0.0000000000    -12.927522      0.0000000000       10.0000000000
   3386  -0.61010      0.0000000000    -12.900310      0.0000000000       10.0000000000
   3396  -0.60910      0.0000000000    -12.873099      0.0000000000       10.0000000000
   3406  -0.60810      0.0000000000    -12.845888      0.0000000000       10.0000000000
   3416  -0.60710      0.0000000000    -12.818676      0.0000000000       10.0000000000
   3426  -0.60610      0.0000000000    -12.791465      0.0000000000       10.0000000000
   3436  -0.60510      0.0000000000    -12.764253      0.0000000000       10.0000000000
   3446  -0.60410      0.0000000000    -12.737042      0.0000000000       10.0000000000
   3456  -0.60310      0.0000000000    -12.709831      0.0000000000       10.0000000000
   3466  -0.60210      0.0000000000    -12.682619      0.0000000000       10.0000000000
   3476  -0.60110      0.0000000000    -12.655408      0.0000000000       10.0000000000
   3486  -0.60010      0.0000000000    -12.628196      0.0000000000       10.0000000000
   3496  -0.59910      0.0000000000    -12.600985      0.0000000000       10.0000000000
   3506  -0.59810      0.0000000000    -12.573774      0.0000000000       10.0000000000
   3516  -0.59710      0.0000000000    -12.546562      0.0000000000       10.0000000000
   3526  -0.59610      0.0000000000    -12.519351      0.0000000000       10.0000000000
   3536  -0.59510      0.0000000000    -12.492139      0.0000000000       10.0000000000
   3546  -0.59410      0.0000000000    -12.464928      0.0000000000       10.0000000000
   3556  -0.59310      0.0000000000    -12.437717      0.0000000000       10.0000000000
   3566  -0.59210      0.0000000000    -12.410505      0.0000000000       10.0000000000
   3576  -0.59110      0.0000000000    -12.383294      0.0000000000       10.0000000000
   3586  -0.59010      0.0000000000    -12.356082      0.0000000000       10.0000000000
   3596  -0.58910      0.0000000000    -12.328871      0.0000000000       10.0000000000
   3606  -0.58810      0.0000000000    -12.301660      0.0000000000       10.0000000000
   3616  -0.58710      0.0000000000    -12.274448      0.0000000000       10.0000000000
   3626  -0.58610      0.0000000000    -12.247237      0.0000000000       10.0000000000
   3636  -0.58510      0.0000000000    -12.220025      0.0000000000       10.0000000000
   3646  -0.58410      0.0000000000    -12.192814      0.0000000000       10.0000000000
   3656  -0.58310      0.0000000000    -12.165603      0.0000000000       10.0000000000
   3666  -0.58210      0.0000000000    -12.138391      0.0000000000       10.0000000000
   3676  -0.58110      0.0000000000    -12.111180      0.0000000000       10.0000000000
   3686  -0.58010      0.0000000000    -12.083969      0.0000000000       10.0000000000
   3696  -0.57910      0.0000000000    -12.056757      0.0000000000       10.0000000000
   3706  -0.57810      0.0000000000    -12.029546      0.0000000000       10.0000000000
   3716  -0.57710      0.0000000000    -12.002334      0.0000000000       10.0000000000
   3726  -0.57610      0.0000000000    -11.975123      0.0000000000       10.0000000000
   3736  -0.57510      0.0000000000    -11.947912      0.0000000000       10.0000000000
   3746  -0.57410      0.0000000000    -11.920700      0.0000000000       10.0000000000
   3756  -0.57310      0.0000000000    -11.893489      0.0000000000       10.0000000000
